Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count
2019-09-26;0.0392;0.0401;0.0350;0.0382;18180000.0;994000000.0;25927070538;;5102;8;0.88;35005;45860000.0;1854
2019-09-27;0.0382;0.0398;0.0369;0.0392;13030000.0;986000000.0;25927070538;;4958;8;0.88;349933;46080000.0;1848
2019-09-28;0.0392;0.0397;0.0380;0.0387;9740000.0;1010000000.0;25927070538;;3325;8;0.85;350031;25000000.0;1253
2019-09-29;0.0387;0.0389;0.0363;0.0372;10660000.0;970000000.0;25927070538;;3763;8;0.85;350092;40310000.0;1346
2019-09-30;0.0373;0.0394;0.0361;0.0390;14340000.0;988000000.0;25927070538;;4605;8;0.87;350138;48720000.0;1792
2019-10-01;0.0390;0.0400;0.0382;0.0383;8380000.000000001;1010000000.0;25927070538;;3756;8;0.87;350375;22850000.0;1465
2019-10-02;0.0384;0.0395;0.0377;0.0393;8119999.999999999;1010000000.0;25927070538;;3734;8;0.87;350621;20000000.0;1446
2019-10-03;0.0394;0.0398;0.0375;0.0383;14070000.0;999000000.0;25927070538;;3564;8;0.87;350762;30030000.0;1369
2019-10-04;0.0382;0.0403;0.0374;0.0394;19540000.0;1010000000.0;25927070538;;6109;8;0.87;353049;27800000.0;377
2019-10-05;0.0394;0.0398;0.0387;0.0397;12980000.0;1020000000.0;25927070538;;3255;8;0.87;353265;13420000.0;1398
2019-10-06;0.0398;0.0401;0.0380;0.0388;11180000.0;1020000000.0;25927070538;;2972;8;0.87;353318;18030000.0;1149
2019-10-07;0.0388;0.0419;0.0381;0.0415;20820000.0;1050000000.0;25927070538;;3971;8;0.9;353493;26210000.0;1612
2019-10-08;0.0415;0.0423;0.0403;0.0413;13480000.0;1070000000.0000001;25927070538;;3585;8;0.89;353648;24040000.0;1459
2019-10-09;0.0413;0.0435;0.0407;0.0426;18380000.0;1100000000.0;25927070538;;3744;8;0.9;353641;39920000.0;1502
2019-10-10;0.0426;0.0427;0.0407;0.0417;13250000.0;1080000000.0;25927070538;;3067;8;0.9;353773;58870000.0;1224
2019-10-11;0.0418;0.0423;0.0399;0.0401;13400000.0;1060000000.0;25927070538;;3647;8;0.91;353719;35950000.0;1742
2019-10-12;0.0401;0.0410;0.0401;0.0404;6880000.0;1050000000.0;25927070538;;2518;8;0.9;353823;27910000.0;1009
2019-10-13;0.0405;0.0418;0.0403;0.0413;8900000.0;1070000000.0000001;25927070538;;2554;8;0.91;354045;19570000.0;1119
2019-10-14;0.0413;0.0421;0.0408;0.0418;13550000.0;1080000000.0;25927070538;;3121;8;0.91;354004;23250000.0;124
2019-10-15;0.0418;0.0419;0.0390;0.0397;12950000.0;1050000000.0;25927070538;;3958;8;0.92;353565;21850000.0;1328
2019-10-16;0.0395;0.0399;0.0375;0.0384;2640000.0;994000000.0;25927070538;;4122;9;0.92;353898;44860000.0;1809
2019-10-17;0.0384;0.0395;0.0379;0.0393;7330000.0;1010000000.0;25927070538;;3262;9;0.93;353988;19420000.0;1279
2019-10-18;0.0394;0.0395;0.0374;0.0380;15600000.0;986000000.0;25927070538;;3772;9;0.92;353919;24900000.0;1424
2019-10-19;0.0380;0.0396;0.0376;0.0390;9420000.0;1000000000.0;25927070538;;3578;9;0.87;354005;23670000.0;1412
2019-10-20;0.0390;0.0396;0.0381;0.0395;9340000.0;1010000000.0;25927070538;;3496;9;0.87;354099;17710000.0;134
2019-10-21;0.0395;0.0395;0.0385;0.0392;9960000.0;1010000000.0;25927070538;;4049;9;0.87;354301;20400000.0;1574
2019-10-22;0.0392;0.0401;0.0385;0.0386;8590000.0;1030000000.0;25927070538;;4084;9;0.88;354401;17820000.0;1535
2019-10-23;0.0385;0.0388;0.0353;0.0363;12410000.0;964000000.0;25927070538;;4706;9;0.88;35459;22250000.0;1738
2019-10-24;0.0364;0.0380;0.0359;0.0374;11440000.0;961000000.0;25927070538;;5127;9;0.87;354674;44760000.0;2008
2019-10-25;0.0374;0.0420;0.0372;0.0412;22910000.0;1040000000.0;25927070538;;5859;9;0.68;354696;37960000.0;2352
2019-10-26;0.0413;0.0436;0.0393;0.0406;35510000.0;1080000000.0;25927070538;;5757;9;0.67;354698;49240000.0;2273
2019-10-27;0.0406;0.0436;0.0396;0.0423;28150000.0;1080000000.0;25927070538;;5662;10;0.67;354755;45670000.0;2191
2019-10-28;0.0423;0.0450;0.0419;0.0428;18680000.0;1120000000.0;25927070538;;5788;10;0.66;354969;53090000.0;2284
2019-10-29;0.0422;0.0440;0.0420;0.0435;13240000.0;1110000000.0;25927070538;;4671;10;0.66;355056;36720000.0;1835
2019-10-30;0.0435;0.0446;0.0411;0.0418;13330000.0;1110000000.0;25927070538;;10069;12;0.67;350316;101000000.0;1866
2019-10-31;0.0417;0.0423;0.0401;0.0413;10510000.0;1070000000.0000001;25927070538;;679;12;0.65;348934;132000000.0;1984
2019-11-01;0.0413;0.0427;0.0409;0.0422;10210000.0;1080000000.0;25927070538;;4509;11;0.65;348901;107000000.0;1602
2019-11-02;0.0422;0.0436;0.0418;0.0424;5510000.0;1090000000.0;25927070538;;3702;11;0.65;349019;25440000.0;1429
2019-11-03;0.0425;0.0427;0.0413;0.0417;4610000.0;1080000000.0;25927070538;;4508;11;0.64;349079;101000000.0;1668
2019-11-04;0.0417;0.0437;0.0414;0.0433;11740000.0;1100000000.0;25927070538;;513;11;0.65;34941;39580000.0;1951
2019-11-05;0.0433;0.0449;0.0431;0.0442;21340000.0;1140000000.0;25927070538;;5539;11;0.65;349605;59700000.0;214
2019-11-06;0.0442;0.0461;0.0436;0.0448;13430000.0;1160000000.0;25927070538;;5059;11;0.64;349929;145000000.0;206
2019-11-07;0.0448;0.0450;0.0425;0.0434;12000000.0;1130000000.0;25927070538;;5456;11;0.61;349922;36940000.0;2072
2019-11-08;0.0434;0.0438;0.0410;0.0422;11130000.0;1100000000.0;25927070538;;5935;11;0.62;349688;42880000.0;2077
