Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Volatility;Active Addresses Count;Transaction Volume;Transactions Count
2021-01-01;0.0268;0.0275;0.0265;0.0269;52480000.0;1930000000.0;71659646844.5;36670.0;0.92;430431;48750000.0;1779637
2021-01-02;0.0269;0.0280;0.0265;0.0273;71520000.0;1940000000.0;71659651890.47;36690.0;0.92;540513;59230000.0;1994471
2021-01-03;0.0272;0.0301;0.0265;0.0295;119000000.0;2009999999.9999998;71659664367.01;40010.0;0.92;621063;125000000.0;2388746
2021-01-04;0.0297;0.0324;0.0267;0.0310;263000000.0;2140000000.0000002;71659650897.18;40750.0;0.93;442234;196000000.0;1906795
2021-01-05;0.0310;0.0313;0.0270;0.0287;207000000.0;2029999999.9999998;71659667353.93;37600.0;0.99;406905;312000000.0;1814058
2021-01-06;0.0286;0.0310;0.0278;0.0305;195000000.0;2120000000.0;71659654590.52;42170.0;1;478238;193000000.0;1846598
2021-01-07;0.0305;0.0335;0.0299;0.0310;310000000.0;2270000000.0;71659646541.18;42580.0;0.98;416229;325000000.0;1875566
2021-01-08;0.0310;0.0313;0.0286;0.0304;178000000.0;2150000000.0;71659654654.31;42090.0;0.96;447147;192000000.0;2017140
2021-01-09;0.0304;0.0356;0.0295;0.0340;240000000.0;2370000000.0;71659646126.45;47230.0;1.07;464739;199000000.0;2048027
2021-01-10;0.0340;0.0369;0.0310;0.0328;576000000.0;2440000000.0;71659653984.92;45430.0;1.04;533211;183000000.0;2100349
2021-01-11;0.0328;0.0328;0.0269;0.0290;340000000.0;2089999999.9999998;71659655515.86;39770.0;1.16;578938;276000000.0;2130658
2021-01-12;0.0290;0.0304;0.0279;0.0287;108000000.0;2080000000.0;71659658998.69;39350.0;1.11;436406;132000000.0;1947801
2021-01-13;0.0286;0.0309;0.0277;0.0308;98190000.0;2089999999.9999998;71659660563.22;41810.0;1.12;431995;156000000.0;2118208
2021-01-14;0.0308;0.0318;0.0291;0.0301;109000000.0;2160000000.0;71659662861.01;41360.0;1.14;511759;210000000.0;2309423
2021-01-15;0.0301;0.0314;0.0282;0.0297;262000000.0;2150000000.0;71659650595.18;41050.0;1.12;866375;88380000.0;2575162
2021-01-16;0.0298;0.0313;0.0294;0.0301;122000000.0;2180000000.0;71659666838.54;41660.0;1.12;620463;66200000.0;2542203
2021-01-17;0.0301;0.0308;0.0291;0.0303;74100000.0;2150000000.0;71659647731.62;41790.0;1.11;643179;54210000.0;2597071
2021-01-18;0.0303;0.0323;0.0296;0.0316;91720000.0;2210000000.0;71659654699.15;43660.0;1.11;467442;81200000.0;2483649
