Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;Active Addresses Count;Volatility;Transaction Volume;Transactions Count
2021-02-02;3.05;3.08;2.96;3.00;250000000.0;2860000000.0;950181576.95;7957;1.27;113000000.0;2985207
2021-02-03;3.00;3.14;2.99;3.07;232000000.0;2910000000.0;950209645.99;8431;1.27;102000000.0;3017759
2021-02-04;3.07;3.15;2.98;3.03;276000000.0;2900000000.0;950237711.77;6808;1.27;113000000.0;3365126
2021-02-05;3.03;3.38;3.01;3.32;503000000.0;3020000000.0;950265811.9;17096;1.15;164000000.0;3369127
2021-02-06;3.32;3.33;3.14;3.22;426000000.0;3060000000.0;950293880.89;8359;1.16;108000000.0;3086243
2021-02-07;3.21;3.60;3.03;3.44;1350000000.0;3180000000.0;950321949.58;8148;1.17;193000000.0;2920159
2021-02-08;3.45;3.60;3.35;3.60;866000000.0;3310000000.0;950348327.64;8712;1.04;187000000.0;3111754
2021-02-09;3.63;4.31;3.48;4.17;1540000000.0;3690000000.0;950376418.38;9086;0.93;276000000.0;3082839
2021-02-10;4.17;4.54;3.66;4.13;1400000000.0;3930000000.0;950404507.3;9771;0.94;312000000.0;3229967
2021-02-11;4.13;4.68;4.01;4.59;1260000000.0;4130000000.0;950432619.03;918;0.92;233000000.0;3090347
2021-02-12;4.59;4.85;4.23;4.76;1030000000.0;4350000000.0;950461121.95;17737;0.94;248000000.0;2861441
2021-02-13;4.76;5.56;4.50;5.56;2009999999.9999998;4790000000.0;950488921.4;9387;0.98;351000000.0;2474755
2021-02-14;5.56;5.61;4.87;5.07;1270000000.0;4990000000.0;950517191.32;8719;1.14;171000000.0;2426289
2021-02-15;5.08;5.25;4.13;4.71;1630000000.0;4460000000.0;950545338.57;8515;1.14;228000000.0;2438195
2021-02-16;4.72;4.97;4.41;4.65;1140000000.0;4480000000.0;950573703.6;7325;1.19;147000000.0;2491589
2021-02-17;4.65;4.89;4.42;4.84;922000000.0;4480000000.0;950602948.94;793;1.18;164000000.0;2446458
2021-02-18;4.85;4.99;4.66;4.82;1100000000.0;4620000000.0;950629573.05;8081;1.18;172000000.0;2402819
2021-02-19;4.82;5.37;4.65;5.23;1050000000.0;4850000000.0;950657775.4;16749;1.19;214000000.0;2383596
2021-02-20;5.23;5.45;4.52;4.84;958000000.0;4890000000.0;950686071.04;9047;1.14;209000000.0;2385379
2021-02-21;4.83;5.37;4.74;5.10;1210000000.0;4810000000.0;950714365.69;8677;1.2;200000000.0;2408449
2021-02-22;5.11;5.30;4.11;4.69;2029999999.9999998;4570000000.0;950742467.7;9394;1.29;301000000.0;2547876
2021-02-23;4.69;4.72;3.19;3.85;1210000000.0;3690000000.0;950770765.54;8384;1.45;393000000.0;2499046
2021-02-24;3.85;4.14;3.68;3.89;709000000.0;3750000000.0;950798248.11;8188;1.41;179000000.0;2552196
2021-02-25;3.89;4.10;3.62;3.67;463000000.0;3720000000.0;950826730.87;7925;1.41;143000000.0;2599281
2021-02-26;3.67;3.77;3.40;3.55;517000000.0;3420000000.0;950854453.37;16391;1.41;123000000.0;2439024
2021-02-27;3.55;3.84;3.54;3.68;325000000.0;3530000000.0;950882636.41;7754;1.42;88640000.0;2185266
2021-02-28;3.67;3.70;3.25;3.48;423000000.0;3280000000.0;950910816.53;6773;1.46;89170000.0;2193116
2021-03-01;3.48;3.76;3.46;3.71;382000000.0;3430000000.0;950938923.47;7869;1.41;104000000.0;2369681
2021-03-02;3.71;3.85;3.57;3.67;403000000.0;3510000000.0;950967139.8;7538;1.42;115000000.0;2212030
2021-03-03;3.67;4.07;3.65;3.83;406000000.0;3700000000.0;950995445.96;7648;1.43;142000000.0;2225496
