Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count
2019-09-28;55.97;56.30;53.83;55.49;72490000.0;3500000000.0;63382081.88;360000.0;71457;66;0.82;3446141;44770000.0;27853
2019-09-29;55.51;55.66;52.21;53.95;66519999.99999999;3410000000.0;63389456.89;400000.0;57921;66;0.81;3447310;172000000.0;20251
2019-09-30;53.95;56.40;52.78;56.13;101000000.0;3460000000.0;63396231.91;380000.0;70513;67;0.83;3452430;67500000.0;26592
2019-10-01;56.17;57.70;54.95;55.76;86120000.0;3560000000.0;63403232.02;390000.0;91007;67;0.83;3463874;55190000.0;22429
2019-10-02;55.77;56.75;55.24;56.37;66010000.00000001;3550000000.0;63410044.52;380000.0;54749;67;0.82;3469029;50130000.0;21751
2019-10-03;56.45;57.13;53.82;56.51;198000000.0;3530000000.0;63416569.53;370000.0;59322;67;0.82;3473028;52200000.0;21155
2019-10-04;56.56;57.60;55.34;56.44;178000000.0;3590000000.0;63423382.05;390000.0;56285;67;0.81;3479095;52270000.0;23749
2019-10-05;56.43;57.49;55.67;56.82;162000000.0;3580000000.0;63430607.07;410000.0;56505;67;0.81;3486883;48380000.0;24631
2019-10-06;56.90;56.96;53.04;54.46;153000000.0;3500000000.0;63438044.58;410000.0;62857;66;0.81;3493485;76070000.0;27273
2019-10-07;54.48;58.71;53.30;57.59;92410000.0;3580000000.0;63444982.09;400000.0;62606;68;0.84;3497368;69870000.0;27432
2019-10-08;57.63;58.55;56.56;57.04;48880000.0;3640000000.0;63452407.1;420000.0;9677;67;0.81;3507744;55210000.0;25066
2019-10-09;57.00;60.10;56.62;59.29;86090000.0;3710000000.0;63459757.12;440000.0;62678;70;0.82;3511779;77770000.0;26046
2019-10-10;59.29;59.47;57.18;57.68;53090000.0;3700000000.0;63467407.13;440000.0;6168;68;0.82;3518543;64209999.99999999;25517
2019-10-11;57.69;58.61;55.41;55.89;73250000.0;3600000000.0;63474057.15;370000.0;61718;67;0.82;3522749;88010000.0;25645
2019-10-12;55.92;56.58;55.49;55.76;29320000.0;3560000000.0;63481044.66;390000.0;5385;67;0.82;3527116;37400000.0;23474
2019-10-13;55.76;57.79;55.54;56.50;99550000.0;3600000000.0;63487432.17;360000.0;54489;67;0.82;3530987;27590000.0;20559
2019-10-14;56.47;57.16;56.02;56.87;65580000.0;3600000000.0;63494382.19;390000.0;54887;67;0.83;3534965;144000000.0;22032
2019-10-15;56.88;57.41;53.45;54.52;159000000.0;3510000000.0;63501282.2;380000.0;87351;66;0.83;3542751;105000000.0;22704
2019-10-16;54.57;56.92;51.17;52.47;9660000.0;3330000000.0;63508007.21;350000.0;60324;65;0.83;3547383;59410000.0;22176
2019-10-17;52.48;55.27;51.58;54.98;57990000.0;3400000000.0;63514769.72;370000.0;50549;66;0.84;3551831;49020000.0;19914
2019-10-18;54.96;55.01;52.23;53.30;248000000.0;3400000000.0;63521057.24;330000.0;51667;66;0.84;3556779;42130000.0;20978
2019-10-19;53.29;54.20;52.58;53.82;39330000.0;3400000000.0;63528044.81;380000.0;52652;66;0.81;3558072;36120000.0;1971
2019-10-20;53.79;55.57;52.66;54.94;189000000.0;3430000000.0;63534757.33;370000.0;47146;67;0.82;3561556;49630000.0;17535
2019-10-21;54.96;55.78;53.73;54.72;117000000.0;3470000000.0;63541469.86;370000.0;52827;67;0.82;3565487;119000000.0;19782
2019-10-22;54.69;55.16;53.05;53.42;39190000.0;3460000000.0;63548369.87;370000.0;81395;66;0.82;3574188;67890000.0;20065
2019-10-23;53.39;53.48;47.42;49.52;238000000.0;3230000000.0;63555357.39;340000.0;52874;63;0.85;3578516;132000000.0;19671
2019-10-24;49.53;50.37;48.44;49.65;64650000.00000001;3140000000.0;63561832.4;320000.0;51932;63;0.81;3584303;123000000.0;19865
2019-10-25;49.67;58.74;49.11;57.00;429000000.0;3480000000.0;63568582.41;380000.0;58311;68;0.76;3585598;103000000.0;2168
2019-10-26;57.09;63.76;54.24;56.87;607000000.0;3700000000.0;63574807.43;350000.0;58662;67;0.74;3586445;77460000.0;21852
2019-10-27;56.89;62.98;55.82;59.95;263000000.0;3780000000.0;63581169.94;380000.0;4895;69;0.75;3590757;80560000.0;1935
2019-10-28;59.95;62.66;57.58;58.25;120000000.0;3770000000.0;63588132.47;410000.0;57505;69;0.76;3595991;284000000.0;21283
2019-10-29;57.82;60.84;57.79;59.88;152000000.0;3790000000.0;63594470.01;380000.0;94215;70;0.76;3615772;141000000.0;22205
2019-10-30;59.92;61.18;57.00;57.95;82140000.0;3740000000.0;63601182.53;390000.0;5769;69;0.77;3620525;169000000.0;21066
