Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count;Price
2019-12-01;217.69;218.12;209.54;214.68;33540000.0;3880000000.0;18148358.57;380000.0;20445;27;0.66;17416229;244000000.0;13347;216.185
2019-12-02;214.68;216.49;209.81;214.15;30290000.0;3870000000.0;18149971.14;350000.0;23522;27;0.66;17416620;220000000.0;36526;214.41500000000002
2019-12-03;214.01;216.27;211.23;211.71;62790000.0;3870000000.0;18151746.21;380000.0;52254;28;0.65;17426641;308000000.0;36336;212.86
2019-12-04;211.77;219.73;202.73;207.61;79210000.0;3810000000.0;18153646.3;400000.0;27165;27;0.64;17425391;332000000.0;40391;209.69
2019-12-05;207.47;214.45;205.23;211.71;53880000.0;3810000000.0;18155433.9;380000.0;24693;28;0.65;17423526;235000000.0;39857;209.59
2019-12-06;211.75;214.39;209.37;213.16;66470000.0;3840000000.0;18157296.48;400000.0;23615;29;0.65;17423269;289000000.0;35667;212.45499999999998
2019-12-07;213.47;216.38;210.49;211.35;83840000.0;3880000000.0;18159146.54;390000.0;24825;28;0.62;17424641;304000000.0;31139;212.41
2019-12-08;211.42;215.43;208.68;212.92;50650000.0;3850000000.0;18160971.6;390000.0;18238;29;0.61;17424479;193000000.0;27673;212.17
2019-12-09;212.89;215.35;205.57;208.26;67120000.0;3840000000.0;18162646.67;350000.0;21924;27;0.6;17424928;220000000.0;31562;210.575
2019-12-10;208.21;209.16;203.77;206.63;68340000.0;3760000000.0;18164471.75;380000.0;53086;25;0.59;17436928;220000000.0;34071;207.42000000000002
2019-12-11;206.72;207.99;203.85;206.84;42200000.0;3750000000.0;18166209.31;360000.0;24887;25;0.57;17437191;90700000.0;33504;206.78
2019-12-12;207.42;207.99;203.63;206.4;28130000.0;3740000000.0;18168034.37;380000.0;27549;25;0.57;17436578;163000000.0;37321;206.91
2019-12-13;206.48;212.61;205.91;211.22;56760000.0;3800000000.0;18169871.91;390000.0;23078;27;0.58;17437016;198000000.0;34514;208.85
2019-12-14;211.32;212.96;204.64;205.82;30310000.0;3800000000.0;18171634.49;360000.0;22181;25;0.58;17438709;203000000.0;34827;208.57
2019-12-15;205.82;209.29;204.84;206.72;29390000.0;3760000000.0;18173347.05;350000.0;20968;25;0.58;17440051;177000000.0;33931;206.26999999999998
2019-12-16;206.69;207.75;193.53;196.01;90920000.0;3630000000.0;18175197.12;360000.0;25064;23;0.58;17440983;310000000.0;43049;201.35
2019-12-17;195.94;196.69;171.84;176.39;319000000.0;3360000000.0;18177047.2;330000.0;5923;22;0.65;17451107;313000000.0;42328;186.165
2019-12-18;176.34;192.02;169.62;189.09;163000000.0;3270000000.0;18178922.3;350000.0;27537;24;0.71;17450442;342000000.0;49567;182.715
2019-12-19;189.25;191.04;183.38;186.03;106000000.0;3390000000.0;18180722.39;340000.0;28749;24;0.68;17446954;234000000.0;42783;187.64
2019-12-20;186.12;190.71;183.55;187.47;35300000.0;3400000000.0;18182497.46;330000.0;25992;24;0.68;17446288;256000000.0;41363;186.79500000000002
2019-12-21;187.45;188.39;185.42;186.27;76400000.0;3390000000.0;18184235.01;320000.0;24423;24;0.68;17447380;169000000.0;31895;186.86
2019-12-22;186.27;197.51;185.81;196.53;35920000.0;3470000000.0;18185822.58;310000.0;21784;25;0.65;17448804;153000000.0;40346;191.4
2019-12-23;196.68;198.17;188.19;189.64;65099999.99999999;3540000000.0;18187647.67;350000.0;33484;25;0.6;17448601;152000000.0;46213;193.16
2019-12-24;189.63;191.5;184.87;188.17;41220000.0;3430000000.0;18189510.24;350000.0;57577;25;0.59;17458742;139000000.0;42129;188.89999999999998
2019-12-25;188.16;189.86;182.49;185.02;27240000.0;3380000000.0;18191360.3;340000.0;27893;23;0.56;17458290;173000000.0;39233;186.59
2019-12-26;185.08;194.56;183.71;187.52;36100000.0;3420000000.0;18193147.88;330000.0;29051;26;0.56;17456426;213000000.0;37203;186.3
2019-12-27;187.48;203.42;186.54;203.01;247000000.0;3550000000.0;18195097.94;390000.0;34645;29;0.63;17458549;291000000.0;44026;195.245
2019-12-28;203.08;209.74;202.35;205.88;60820000.0;3760000000.0;18196860.52;360000.0;31812;29;0.61;17460500;294000000.0;39364;204.48000000000002
2019-12-29;205.87;215.66;204.11;212.15;56050000.0;3830000000.0;18198710.6;390000.0;32848;30;0.62;17462862;264000000.0;43731;209.01
2019-12-30;212.11;214.48;205.04;207.94;55650000.0;3820000000.0;18200535.69;380000.0;322;28;0.61;17462492;321000000.0;37766;210.025
2019-12-31;207.77;213.64;200.98;203.83;63690000.0;3780000000.0;18202073.21;310000.0;57476;27;0.61;17472701;226000000.0;19248;205.8
2020-01-01;203.89;208.21;202.46;203.78;67110000.0;3740000000.0;18203998.23;390000.0;27651;27;0.61;17471995;236000000.0;14456;203.83499999999998
2020-01-02;203.78;204.93;192.36;194.97;54610000.0;3630000000.0;18205673.28;330000.0;33372;23;0.62;17468909;285000000.0;32705;199.375
2020-01-03;194.98;225.75;191.41;221.92;134000000.0;3850000000.0;18207535.86;410000.0;31987;29;0.79;17468565;424000000.0;50836;208.45
2020-01-04;222.05;227.13;219.11;224.29;120000000.0;4050000000.0;18209360.94;410000.0;39571;30;0.79;17467767;363000000.0;37923;223.17000000000002
2020-01-05;224.4;227.3;220.7;222.6;145000000.0;4080000000.0;18211136.01;400000.0;34302;30;0.79;17470213;365000000.0;49483;223.5
2020-01-06;222.6;247.16;222.05;244.32;204000000.0;4310000000.0;18212986.1;450000.0;4011;34;0.85;17472709;465000000.0;59323;233.45999999999998
2020-01-07;244.32;246.5;232.09;242.41;134000000.0;4390000000.0;18214811.2;440000.0;62523;32;0.85;17479771;507000000.0;5398;243.365
2020-01-08;242.59;255.29;229.76;239.9;363000000.0;4400000000.0;18216648.81;440000.0;33164;32;0.85;17480111;522000000.0;47828;241.245
2020-01-09;239.91;243.73;231.14;237.79;140000000.0;4320000000.0;18218511.39;440000.0;3334;32;0.85;17478916;376000000.0;41582;238.85
2020-01-10;238.41;274.15;231.04;271.17;197000000.0;4590000000.0;18220399.05;510000.0;33971;38;0.97;17479298;626000000.0;49824;254.79000000000002
2020-01-11;271.63;279.33;258.7;260.73;162000000.0;4900000000.0;18222224.15;480000.0;32827;37;0.98;17480313;437000000.0;54284;266.18
2020-01-12;260.55;271.3;257.87;270.54;257000000.0;4830000000.0;18224074.23;500000.0;32668;38;0.99;17482277;391000000.0;46356;265.545
2020-01-13;270.81;272.89;260.78;266.9;149000000.0;4830000000.0;18225674.31;430000.0;28083;38;0.99;17483307;330000000.0;30389;268.855
2020-01-14;267.08;368.56;267.01;348.58;2020000000.0;5750000000.0;18227724.45;720000.0;68785;82;1.4;17491577;818000000.0;62397;307.83
2020-01-15;347.78;362.02;312.6;339.65;451000000.0;6140000000.0;18229549.57;620000.0;44747;80;1.41;17489712;954000000.0;56295;343.715
2020-01-16;339.69;342.45;309.02;326.49;227000000.0;5880000000.0;18231374.66;600000.0;36344;52;1.4;17488931;849000000.0;45708;333.09000000000003
2020-01-17;326.34;382.59;319.16;367.33;366000000.0;6400000000.0;18233249.79;700000.0;36437;86;1.38;17488544;988000000.0;56453;346.835
2020-01-18;366.9;404.5;329.79;339.01;537000000.0;6650000000.0;18235087.39;630000.0;35819;82;1.41;17493583;1080000000.0;57626;352.955
