Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume
2022-06-17;58.94;64.64;58.19;62.51;16670000.000000002;740000000.0;12554001.32;220000.0;24214;10;1.14;799208;9120000.0
2022-06-18;62.38;63.48;53.13;59.28;43330000.0;783000000.0;12557427.91;210000.0;20096;9;1.1;796281;14990000.0
2022-06-19;59.25;68.93;56.55;67.42;50690000.0;744000000.0;12561022.3;240000.0;18471;10;1.12;797431;14340000.0
2022-06-20;67.48;68.69;63.18;65.00;49560000.0;848000000.0;12564587.91;230000.0;48998;10;1.18;80067;6810000.0
2022-06-21;64.93;70.19;63.80;65.69;63050000.0;816000000.0;12568183.13;240000.0;15432;10;1.2;79905;13810000.0
2022-06-22;65.72;67.10;62.36;63.07;51220000.0;826000000.0;12571771.9;230000.0;15399;10;1.17;799889;11510000.0
2022-06-23;63.20;66.11;62.36;65.60;37960000.0;795000000.0;12575310.25;240000.0;13699;10;1.16;79812;15080000.0
2022-06-24;65.56;70.88;64.14;69.07;57380000.0;825000000.0;12578896.03;250000.0;16346;10;1.17;795164;11470000.0
2022-06-25;69.15;70.81;64.31;68.18;25630000.0;870000000.0;12582443.21;240000.0;12147;10;1.19;795836;6140000.0
2022-06-26;68.14;70.64;63.50;63.72;24930000.0;858000000.0;12586037.21;230000.0;12339;10;1.15;796447;6840000.0
2022-06-27;63.77;67.24;61.79;62.24;12590000.0;803000000.0;12589637.29;220000.0;46678;10;1.17;800854;19080000.0
2022-06-28;62.26;63.32;58.37;58.82;48460000.0;784000000.0;12593219.27;210000.0;13826;8;1.17;795931;7000000.0
2022-06-29;58.80;61.09;56.94;57.50;55110000.0;741000000.0;12596775.78;200000.0;16996;8;1.15;798631;23030000.0
2022-06-30;57.45;58.06;51.77;54.47;45300000.0;724000000.0;12600364.31;190000.0;16155;8;1.13;796636;31480000.0
2022-07-01;54.45;56.55;51.95;53.43;26760000.0;686000000.0;12603899.95;190000.0;14569;8;1.11;796763;9350000.0
2022-07-02;53.43;54.84;51.83;53.99;24880000.0;674000000.0;12607493.7;190000.0;8968;8;1.11;797119;23700000.0
2022-07-03;54.01;55.11;52.24;54.46;7750000.0;681000000.0;12611056.2;200000.0;14856;8;1.1;798061;8930000.0
2022-07-04;54.45;58.59;52.86;58.04;14620000.0;687000000.0;12614649.95;210000.0;44614;7;1.13;806707;21430000.0
2022-07-05;58.06;58.67;54.77;57.04;15760000.0;733000000.0;12618231.2;200000.0;26257;7;1.14;803396;43040000.0
