Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count;Price
2020-12-21;13.06;13.27;12.1;12.31;263000000.0;5020000000.0;397509556.57;6659;63;1.02;298361;120000000.0;901;12.685
2020-12-22;12.32;12.85;11.82;12.8;158000000.0;4920000000.0;397509556.36;6949;63;0.97;299134;422000000.0;9015;12.56
2020-12-23;12.78;12.87;8.39;10.99;301000000.0;4480000000.0;397509556.35;8829;65;1.06;30048;413000000.0;13239;11.885
2020-12-24;10.95;11.68;9.86;11.57;294000000.0;4250000000.0;397509556.47;10105;65;1.06;30153;237000000.0;15708;11.26
2020-12-25;11.57;11.91;11.06;11.56;222000000.0;4550000000.0;397509556.36;698;65;1.06;302634;154000000.0;9525;11.565000000000001
2020-12-26;11.56;11.81;10.63;10.97;318000000.0;4430000000.0;398509556.39;8409;64;1.03;303823;167000000.0;12233;11.265
2020-12-27;10.98;13.22;10.45;12.14;385000000.0;4770000000.0;398509556.46;10106;65;1.03;305118;232000000.0;14604;11.56
2020-12-28;12.16;12.93;11.96;12.59;606000000.0;4950000000.0;398509556.37;8221;66;1.03;306047;157000000.0;1107;12.375
2020-12-29;12.59;13.01;10.8;11.76;1030000000.0;4690000000.0;398509556.54;9309;66;1.05;307436;189000000.0;12779;12.175
2020-12-30;11.78;11.97;11.07;11.25;566000000.0;4560000000.0;398509556.35;8891;66;1.05;308775;528000000.0;12202;11.515
2020-12-31;11.26;11.75;10.95;11.26;165000000.0;4520000000.0;398509556.44;9004;68;1.02;308928;184000000.0;11659;11.26
2021-01-01;11.25;12.48;11.08;11.88;548000000.0;4740000000.0;398509556.38;8658;68;1.02;309853;232000000.0;11695;11.565000000000001
2021-01-02;11.88;12.44;11.47;12.23;455000000.0;4760000000.0;399009556.39;9754;66;1.02;311554;173000000.0;13127;12.055
2021-01-03;12.23;14.03;11.84;13.7;552000000.0;5160000000.0;399509556.49;11323;72;1.1;314055;240000000.0;15831;12.965
2021-01-04;13.81;15.69;12.38;13.61;1200000000.0;5580000000.0;399509556.44;11594;72;1.06;316615;612000000.0;16525;13.71
2021-01-05;13.6;14.94;13.11;14.56;556000000.0;5650000000.0;399509556.4;10866;76;1.07;31878;309000000.0;1491;14.08
2021-01-06;14.59;17.34;14.16;17.28;1340000000.0;6400000000.0;399509556.54;14364;83;1.24;321941;388000000.0;20189;15.935
2021-01-07;17.31;17.44;15.08;15.99;1090000000.0;6590000000.0;399509556.33;12908;81;1.26;32504;296000000.0;16917;16.65
2021-01-08;16.0;16.2;14.14;15.25;917000000.0;6110000000.0;399509556.51;11691;78;1.25;327273;240000000.0;15426;15.625
2021-01-09;15.26;17.95;15.02;17.63;547000000.0;6570000000.0;400009556.34;11223;85;1.34;329633;273000000.0;15117;16.445
2021-01-10;17.64;18.51;15.41;16.21;1960000000.0;6850000000.0;400509556.38;12309;81;1.36;332188;242000000.0;16524;16.925
2021-01-11;16.21;16.25;12.48;14.65;2060000000.0;5690000000.0;400509556.42;9707;78;1.4;334065;374000000.0;14712;15.43
2021-01-12;14.65;15.48;13.67;13.96;706000000.0;5830000000.0;400509556.31;9427;74;1.4;335048;165000000.0;1259;14.305
2021-01-13;13.96;16.23;13.35;15.95;689000000.0;6010000000.0;400509556.38;8963;78;1.47;336775;225000000.0;135;14.955
2021-01-14;15.96;17.96;15.34;17.95;576000000.0;6610000000.0;400509556.32;9995;83;1.52;339056;303000000.0;14016;16.955
2021-01-15;17.96;21.39;17.52;20.75;5580000000.0;7750000000.0;400509556.49;1679;92;1.64;341334;737000000.0;26107;19.355
2021-01-16;21.12;22.96;19.63;20.12;2160000000.0;8720000000.0;401509556.38;16765;89;1.64;345028;581000000.0;25788;20.62
2021-01-17;20.1;23.77;19.39;23.28;1200000000.0;8650000000.0;401509556.43;13123;94;1.7;347982;458000000.0;19948;21.69
2021-01-18;23.3;23.68;21.1;22.05;807000000.0;8900000000.0;401509556.4;12365;93;1.72;350956;474000000.0;17728;22.675
2021-01-19;22.06;22.9;20.37;20.56;976000000.0;8710000000.0;401509556.41;11686;91;1.75;353317;324000000.0;16163;21.31
2021-01-20;20.54;21.98;19.07;21.86;971000000.0;8199999999.999999;401509556.41;10461;94;1.74;355593;271000000.0;14191;21.2
2021-01-21;21.87;22.03;18.04;18.43;772000000.0;8020000000.0;401509556.51;10065;85;1.82;357436;285000000.0;14034;20.15
2021-01-22;18.39;22.5;17.15;21.59;1350000000.0;8180000000.0;401509556.39;10717;93;1.89;359709;476000000.0;15929;19.990000000000002
2021-01-23;21.57;25.51;21.15;24.82;1650000000.0;9660000000.0;402509556.5;13982;96;1.85;362613;491000000.0;20909;23.195
2021-01-24;24.82;24.97;23.18;24.82;1060000000.0;9760000000.0;402509556.51;11863;98;1.85;365207;389000000.0;15724;24.82
2021-01-25;24.82;25.82;22.6;23.36;1160000000.0;9840000000.0;402509556.41;1087;98;1.87;367792;409000000.0;15484;24.09
2021-01-26;23.32;23.98;21.66;23.14;1580000000.0;9180000000.0;402509556.43;9576;98;1.85;369737;355000000.0;13071;23.23
2021-01-27;23.13;23.24;20.28;21.0;1320000000.0;8640000000.0;402509556.4;908;91;1.88;371618;383000000.0;12092;22.064999999999998
2021-01-28;21.07;24.49;20.54;23.07;1890000000.0;9390000000.0;402509556.46;11909;94;1.89;374107;388000000.0;16737;22.07
2021-01-29;23.06;24.3;22.07;22.77;1930000000.0;9310000000.0;402509556.51;13985;99;1.87;37783;384000000.0;17563;22.915
2021-01-30;22.77;23.99;22.18;23.67;791000000.0;9300000000.0;404009556.51;12378;98;1.85;380931;318000000.0;15359;23.22
2021-01-31;23.68;24.69;22.09;22.59;1200000000.0;9320000000.0;404009556.5;11565;94;1.87;383826;243000000.0;14222;23.134999999999998
2021-02-01;22.57;23.2;21.66;22.88;1440000000.0;9020000000.0;404009556.47;11618;99;1.87;386601;380000000.0;14464;22.725
2021-02-02;22.89;24.15;22.76;23.68;764000000.0;9400000000.0;404009556.51;11236;99;1.87;389351;380000000.0;1442;23.285
2021-02-03;23.7;25.58;23.56;25.1;989000000.0;9960000000.0;404009556.4;11952;97;1.84;392238;426000000.0;15504;24.4
2021-02-04;25.13;26.17;22.79;24.52;1250000000.0;9890000000.0;404009556.47;12055;96;1.84;395205;309000000.0;15244;24.825
2021-02-05;24.54;27.01;24.44;26.33;1910000000.0;10570000000.0;404009556.46;13007;99;1.84;398637;536000000.0;16401;25.435
2021-02-06;26.35;26.81;24.24;25.07;1610000000.0;10290000000.0;405509556.47;1249;100;1.77;401013;329000000.0;15512;25.71
2021-02-07;25.04;25.31;22.88;24.76;1460000000.0;9860000000.0;405509556.41;11975;94;1.75;403491;294000000.0;13764;24.9
2021-02-08;24.77;26.02;24.0;25.45;1820000000.0;10200000000.0;405509556.44;11479;99;1.73;406181;497000000.0;14066;25.11
2021-02-09;25.6;28.09;25.0;27.64;1920000000.0;10610000000.0;405509556.44;12381;103;1.68;409218;388000000.0;15085;26.62
2021-02-10;27.67;28.67;25.27;26.84;1610000000.0;11020000000.0;405509556.48;13698;100;1.66;412355;424000000.0;1654;27.255000000000003
2021-02-11;26.82;28.58;26.25;27.87;1640000000.0;11200000000.0;405509556.47;1352;105;1.6;414611;339000000.0;15929;27.345
2021-02-12;27.88;31.49;26.7;30.71;2089999999.9999998;11850000000.0;405509556.47;14531;113;1.6;417747;554000000.0;17474;29.295
2021-02-13;30.72;34.76;29.07;34.26;3030000000.0;12860000000.0;407009556.4;15391;129;1.58;421068;537000000.0;19403;32.489999999999995
2021-02-14;34.27;35.74;32.35;33.2;2410000000.0;13830000000.0;407009556.43;15425;128;1.56;423739;527000000.0;19786;33.735
2021-02-15;33.23;34.92;27.55;32.57;2860000000.0;12970000000.0;407009556.4;12934;117;1.44;423347;664000000.0;15694;32.9
2021-02-16;32.6;33.41;30.79;31.97;2060000000.0;13070000000.0;407009556.47;15982;119;1.44;424254;512000000.0;1866;32.285
2021-02-17;31.98;32.67;30.0;32.25;2009999999.9999998;12820000000.0;407009556.41;11957;119;1.36;426524;553000000.0;14412;32.115
2021-02-18;32.26;33.6;31.79;32.46;2270000000.0;13290000000.0;407009556.45;15726;123;1.34;425015;453000000.0;17826;32.36
2021-02-19;32.51;35.51;31.32;34.71;1670000000.0;13720000000.0;407009556.42;12939;131;1.32;428184;522000000.0;15332;33.61
2021-02-20;34.73;36.93;32.31;33.98;1710000000.0;14290000000.0;407009556.46;14646;132;1.32;431975;480000000.0;17548;34.355
2021-02-21;33.94;35.31;33.29;34.14;1810000000.0;13980000000.0;408509556.45;12596;128;1.17;43485;318000000.0;13727;34.04
2021-02-22;34.15;34.24;24.63;31.49;3540000000.0;12490000000.0;408509556.4;11875;119;1.09;437353;588000000.0;14769;32.82
2021-02-23;31.49;31.66;20.91;25.94;2530000000.0;10540000000.0;408509556.38;12263;107;1.17;439818;908000000.0;16098;28.715
2021-02-24;25.96;35.61;24.53;28.12;868000000000.0;11590000000.0;408509556.37;11239;109;1.2;441667;499000000.0;14217;27.04
2021-02-25;28.1;28.69;24.39;24.71;1300000000.0;11070000000.0;408509556.43;949;105;1.26;443814;316000000.0;11514;26.405
2021-02-26;24.72;27.0;23.67;25.17;1510000000.0;10290000000.0;408509556.41;10776;106;1.26;445386;503000000.0;13149;24.945
2021-02-27;25.18;27.44;24.85;26.23;1010000000.0;10640000000.0;410009556.4;13804;108;1.22;443971;306000000.0;16392;25.705
2021-02-28;26.21;26.77;22.89;24.74;1320000000.0;10040000000.0;410009556.37;9021;103;1.2;445348;312000000.0;11397;25.475
2021-03-01;24.75;27.75;24.64;27.73;1710000000.0;10800000000.0;410009556.4;10458;108;1.26;446228;351000000.0;12708;26.240000000000002
2021-03-02;27.74;30.52;27.2;28.52;2210000000.0;11820000000.0;410009556.41;1993;108;1.26;443566;482000000.0;2312;28.13
2021-03-03;28.5;31.44;28.18;29.86;989000000.0;12410000000.0;410009556.42;23416;118;1.25;43854;774000000.0;3021;29.18
2021-03-04;29.85;30.57;27.17;27.67;1310000000.0;11830000000.0;410009556.46;14913;107;1.28;437981;502000000.0;1922;28.76
2021-03-05;27.62;28.25;25.65;27.84;984000000.0;10990000000.0;410009556.41;10852;108;1.28;439079;616000000.0;14365;27.73
2021-03-06;27.85;28.37;26.3;28.16;973000000.0;11310000000.0;411509556.46;9832;109;1.27;439648;413000000.0;13229;28.005000000000003
2021-03-07;28.19;29.14;27.39;28.57;1270000000.0;11660000000.0;411509556.41;12518;110;1.26;439095;1990000000.0;15636;28.380000000000003
2021-03-08;28.62;31.86;28.31;31.85;1290000000.0;12310000000.0;411509556.43;10895;120;1.3;441027;955000000.0;14766;30.235
2021-03-09;31.85;32.0;30.4;31.51;869000000.0;12840000000.0;411509556.4;11966;119;1.28;442219;636000000.0;15225;31.68
2021-03-10;31.53;31.8;29.28;29.9;901000000.0;12510000000.0;411509556.39;10741;121;1.3;443286;693000000.0;13408;30.715
2021-03-11;29.9;30.49;28.57;30.14;794000000.0;12130000000.0;411509556.44;9957;118;1.3;444813;345000000.0;12368;30.02
2021-03-12;30.15;30.41;27.64;28.37;583000000.0;11870000000.0;411509556.45;107;114;1.29;446778;1900000000.0;12732;29.259999999999998
2021-03-13;28.34;30.57;26.96;29.73;901000000.0;12040000000.0;413009556.38;1031;119;1.29;448697;633000000.0;12934;29.035
